word,sent
devry,"['i', 'am', 'currently', 'working', 'on', 'my', 'bachelors', 'degree', 'at', 'devry', 'university', 'in', 'human', 'resource', 'management']"
zike,"['zike', 'virus', 'info']"
zike,"['zike', 'virus', 'info']"
zike,"['zike', 'virus', 'info']"
zike,"['zike', 'virus', 'info']"
hearing aid,"['top', 'hearing', 'aid', 'suppliers', 'in', 'kottayam', 'is', 'sravana']"
hearing aid,"['they', 'are', 'the', 'best', 'speech', 'and', 'hearing', 'center', 'in', 'kerala', 'provides', 'the', 'latest', 'hearing', 'aid', 'services', 'to', 'the', 'customers']"
blue eyed devil,"['you', 'can', 't', 'use', 'any', 'slur', 'against', 'a', 'non', 'white', 'race', 'but', 'in', 'turn', 'it', 's', 'fine', 'for', 'them', 'to', 'call', 'you', 'whitebread', 'ofay', 'blue', 'eyed', 'devil', 'cracker', 'gringo', 'honky', 'peckerwood', 'roundeye', 'or', 'wigger']"
hearing aid,"['1940', 'william', 'demant', 'produces', 'first', 'hearing', 'aid', 'by', 'license']"
yocum,"['lewis', 'yocum', 'after', 'complaining', 'of', 'soreness', 'before', 'a', 'bullpen', 'session', 'on', 'tuesday']"
yocum,"['the', 'pitcher', 'flew', 'home', 'to', 'san', 'diego', 'on', 'tuesday', 'and', 'will', 'see', 'yocum', 'on', 'wednesday', 'in', 'los', 'angeles']"
yocum,"['stephen', 'gryzlo', 'is', 'in', 'chicago', 'and', 'prior', 'has', 'seen', 'yocum', 'before', 'the', 'team', 'decided', 'to', 'send', 'the', 'pitcher', 'west']"
yocum,"['the', 'cubs', 'did', 'not', 'know', 'if', 'prior', 'would', 'need', 'an', 'mri', 'and', 'wanted', 'to', 'wait', 'until', 'yocum', 'had', 'a', 'chance', 'to', 'do', 'an', 'examination']"
sassenach,"['suddenly', 'she', 'is', 'a', 'sassenach', 'an', 'outlander', 'in', 'a', 'scotland', 'torn', 'by', 'war', 'and', 'raiding', 'clans', 'in', 'the', 'year', 'of', 'our']"
tojo,"['tagged', 'anime', 'beelzebub', 'episode', '18', 'review', 'tojo']"
tojo,"['beelzebub', 'episode', '15', 'searching', 'for', 'tojo', 'and', 'searching', 'some', 'more']"
tojo,"['he', 'then', 'talks', 'about', 'tojo', 'the', 'last', 'and', 'strongest', 'tkkh', 'and', 'then', 'we', 'are', 'shown', 'a', 'conversation', 'between', 'himekawa', 'and', 'kanzaki', 'with', 'their', 'lackeys', 'hoping', 'that', 'both', 'oga', 'and', 'tojo', 'will', 'crush', 'each', 'other']"
tojo,"['continue', 'reading', 'beelzebub', 'episode', '15', 'searching', 'for', 'tojo', 'and', 'searching', 'some', 'more']"
tojo,"['tagged', 'anime', 'beelzebub', 'episode', '15', 'review', 'tojo']"
cissy,"['amelie', 'piers', 'amar', 'e', 'del', 'kerri', 'enrique', 'bristol', 'levi', 'yasin', 'george', 'kurtis', 'cissy', 'dal', 'esa', 'mincho', 'otto', 'an', 'ryley', 'ola', 'pete']"
half breed,"['hardy', 'herman', 'bradley', 'gregg', 'roscoe', 'jeff', 'o', 'haco', 'half', 'breed', 'vince', 'deadrick', 'sr']"
kunta,"['allahumma', 'in', 'kunta', 'ta', 'lamu', 'anna', 'hathal', 'amra', 'khayul', 'lee', 'fi', 'deenee', 'wama', 'ashi', 'wa', 'ajila', 'amri', 'wa', 'ajilah', 'faqdorho', 'lee', 'wayassirho', 'lee', 'thomma', 'barik', 'lee', 'fih']"
turdburglar,"['tucancion', 'tucano', 'tucanos', 'tuck', 'tucker', 'tucumn', 'tudela', 'tudo', 'tudor', 'tudyk', 'tuesday', 'tuesday', 'tuesdays', 'tuff', 'tufted', 'tufts', 'tug', 'tugofwar', 'tui', 'tuit', 'tuitero', 'tuition', 'tuitionfree', 'tuitions', 'tulfo', 'tulip', 'tulipomania', 'tulips', 'tulle', 'tully', 'tulowitzki', 'tulsa', 'tulsi', 'tulum', 'tumbas', 'tumble', 'tumbler', 'tumblers', 'tumbles', 'tumbling', 'tumblr', 'tumblrhairstyles', 'tumblrvine', 'tumblrvines', 'tumbo', 'tummmy', 'tummy', 'tummytoningexercises', 'tummytuck', 'tumor', 'tumors', 'tumorterelucampos', 'tumptown', 'tumultuous', 'tumulus', 'tuna', 'tunaflavor', 'tunamelt', 'tunasalad', 'tunasaladnomayo', 'tunasaladpita', 'tunasaladrecipe', 'tundra', 'tune', 'tuned', 'tunes', 'tunga', 'tuning', 'tunis', 'tunisia', 'tunisians', 'tunnel', 'tunnels', 'tuns', 'tupac', 'tupid', 'tuppence', 'turan', 'turban', 'turbina', 'turbinado', 'turbine', 'turbo', 'turbocharge', 'turbocharges', 'turbovote', 'turbulence', 'turbulent', 'turca', 'turcas', 'turco', 'turd', 'turdburglar', 'turf', 'turin', 'turing', 'turismo', 'turista', 'turistas', 'turk']"
blue eyed devil,"['exes', 'blue', 'eyed', 'devil', '4', '31', 'pm']"
kunta,"['classic', 'beats', 'kendrick', 'lamar', 'king', 'kunta', 'bjs', 'intro', 'clean']"
kunta,"['classic', 'beats', 'kendrick', 'lamar', 'king', 'kunta', 'bjs', 'intro', 'dirty']"
white power ranger,"['she', 'made', 'me', 'a', 'white', 'power', 'ranger', 'costume', 'because', 'we', 'couldn', 't', 'find', 'my', 'size']"
hearing aid,"['h251h', 'monaural', 'headset', 'with', 'hearing', 'aid', 'compatibility']"
hearing aid,"['h261h', 'binaural', 'headset', 'with', 'hearing', 'aid', 'compatibility']"
